year,slam,surface,date,champion,champion_ioc,seed,age,runner_up,runner_up_ioc,score
2021,Wimbledon,Grass,20210628,Novak Djokovic,SRB,1,34,Matteo Berrettini,ITA,6-7(4) 6-4 6-4 6-3
2021,US Open,Hard,20210830,Daniil Medvedev,RUS,2,25,Novak Djokovic,SRB,6-4 6-4 6-4
2022,Australian Open,Hard,20220117,Rafael Nadal,ESP,6,35,Daniil Medvedev,RUS,2-6 6-7(5) 6-4 6-4 7-5
2022,Roland Garros,Clay,20220523,Rafael Nadal,ESP,5,35,Casper Ruud,NOR,6-3 6-3 6-0
2022,Wimbledon,Grass,20220627,Novak Djokovic,SRB,1,35,Nick Kyrgios,AUS,4-6 6-3 6-4 7-6(3)
2022,US Open,Hard,20220829,Carlos Alcaraz,ESP,3,19,Casper Ruud,NOR,6-4 2-6 7-6(1) 6-3
2023,Australian Open,Hard,20230116,Novak Djokovic,SRB,4,35,Stefanos Tsitsipas,GRE,6-3 7-6(4) 7-6(5)
2023,Roland Garros,Clay,20230529,Novak Djokovic,SRB,3,36,Casper Ruud,NOR,7-6(1) 6-3 7-5
2023,Wimbledon,Grass,20230703,Carlos Alcaraz,ESP,1,20,Novak Djokovic,SRB,1-6 7-6(6) 6-1 3-6 6-4
2023,US Open,Hard,20230828,Novak Djokovic,SRB,2,36,Daniil Medvedev,RUS,6-3 7-6(5) 6-3
2024,Australian Open,Hard,20240115,Jannik Sinner,ITA,4,22,Daniil Medvedev,RUS,3-6 3-6 6-4 6-4 6-3
2024,Roland Garros,Clay,20240526,Carlos Alcaraz,ESP,3,21,Alexander Zverev,GER,6-3 2-6 5-7 6-1 6-2
2024,Wimbledon,Grass,20240701,Carlos Alcaraz,ESP,3,21,Novak Djokovic,SRB,6-2 6-2 7-6(4)
2024,US Open,Hard,20240826,Jannik Sinner,ITA,1,23,Taylor Fritz,USA,6-3 6-4 7-5
2025,Australian Open,Hard,20250113,Jannik Sinner,ITA,1,23,Alexander Zverev,GER,6-3 7-6(4) 6-3
2025,Roland Garros,Clay,20250526,Carlos Alcaraz,ESP,2,22,Jannik Sinner,ITA,4-6 6-7(4) 6-4 7-6(3) 7-6(2)
2025,Wimbledon,Grass,20250630,Jannik Sinner,ITA,1,23,Carlos Alcaraz,ESP,4-6 6-4 6-4 6-4
2025,US Open,Hard,20250824,Carlos Alcaraz,ESP,2,22,Jannik Sinner,ITA,6-2 3-6 6-1 6-4
2026,Australian Open,Hard,20260119,Carlos Alcaraz,ESP,2,22,Novak Djokovic,SRB,2-6 6-2 6-3 7-5
2026,Roland Garros,Clay,20260524,Alexander Zverev,GER,3,29,Flavio Cobolli,ITA,6-1 4-6 6-4 6-7(5) 6-1
